GME,GME,GME,GME,GME,GME,GME,AMC,AMC,AMC,AMC,AMC,AMC,AMC,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,BBBY,BBBY,BBBY,BBBY,BBBY,BBBY,BBBY,HOOD,HOOD,HOOD,HOOD,HOOD,HOOD,HOOD,BB,BB,BB,BB,BB,BB,BB,PLTR,PLTR,PLTR,PLTR,PLTR,PLTR,PLTR,NOK,NOK,NOK,NOK,NOK,NOK,NOK,SPCE,SPCE,SPCE,SPCE,SPCE,SPCE,SPCE
open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
16.6,16.81,16.45,16.49,1604053,10831,16.571499,20.95,20.95,20.545,20.75,1398985,7787,20.73862,303.0,305.98,293.33,298.33,7349822,88737,299.587658,19.02,19.24,18.82,19.13,3469799,23249,19.068268,,,,,,,,10.23,10.3752,10.17,10.34,4302426.0,13082.0,10.273701,,,,,,,,5.51,5.53,5.46,5.52,13580087,14585,5.497317,,,,,,,
16.45,16.75,16.435,16.52,3040934,12848,16.555504,20.8,21.45,20.7,21.35,3220032,13123,21.130369,297.7,300.58,295.37,299.1,5052483,57480,298.070917,19.09,19.29,18.91,19.13,8092891,24895,19.123396,,,,,,,,10.34,10.44,10.29,10.41,3545491.0,11231.0,10.38243,,,,,,,,5.56,5.61,5.53,5.59,15735196,13761,5.569794,,,,,,,
16.42,16.42,15.49,15.52,3577664,21386,15.743316,19.9,20.7,19.7,20.4,2174993,13241,20.15658,298.48,302.9993,293.58,299.68,4842961,59342,298.504969,18.9,19.205,18.64,19.06,3525089,23640,18.976481,,,,,,,,10.4,10.495,10.27,10.42,2893661.0,9974.0,10.399306,,,,,,,,5.55,5.58,5.51,5.55,5922856,8813,5.542584,,,,,,,
15.66,16.09,15.3,16.02,2062536,13126,15.79284,20.4,20.4,19.45,19.9,2289932,13312,19.807486,300.0,304.6,296.5,300.99,4481729,53557,299.687136,19.15,19.15,18.72,18.9,3458614,19803,18.916493,,,,,,,,10.41,10.61,10.4,10.4,2547504.0,9725.0,10.480928,,,,,,,,5.54,5.62,5.54,5.6,13038881,14169,5.587354,,,,,,,
16.1,16.14,15.535,15.59,1901308,12192,15.72557,19.85,20.35,19.75,20.15,1549062,8565,20.112227,302.0,313.89,301.1093,309.58,7843216,96016,308.694223,19.05,19.31,18.745,18.81,9424435,41222,17.964508,,,,,,,,10.42,10.44,10.2532,10.32,2410258.0,9596.0,10.364299,,,,,,,,5.55,5.6,5.525,5.53,7410244,7572,5.555802,,,,,,,
15.68,15.75,15.425,15.55,2024388,10967,15.528964,20.1,20.6,20.05,20.45,1573690,7689,20.404397,312.9,314.96,306.91,307.52,8509085,119789,294.892868,15.33,15.36,14.16,14.86,51952433,172806,14.709518,,,,,,,,10.35,10.35,10.14,10.19,4319308.0,14746.0,10.217036,,,,,,,,5.58,5.7,5.575,5.69,18776732,20754,5.668662,,,,,,,
15.54,15.8485,15.19,15.27,2573677,13096,15.395278,20.4,20.6,20.2,20.5,1826980,8335,20.439077,270.04,278.0,260.555,264.77,33668272,387867,269.0747,14.67,15.3,14.53,15.0,13794232,55643,15.026863,,,,,,,,10.43,12.0,10.43,11.38,31251163.0,83384.0,11.412502,,,,,,,,5.56,5.6062,5.55,5.58,15810909,16630,5.575133,,,,,,,
15.28,15.54,14.98,15.28,4059759,17966,15.177292,20.54,20.5999,19.75,19.86,1939725,13270,19.957973,306.0,311.44,301.05,310.7,21778511,241267,307.631102,14.86,15.09,14.46,14.75,8960467,38930,14.795621,,,,,,,,11.45,11.75,10.81,10.83,11002705.0,36773.0,11.170686,,,,,,,,5.6,5.65,5.59,5.61,17033419,17996,5.621826,,,,,,,
15.17,15.31,14.84,14.87,2878201,17405,15.048089,19.8,20.15,19.53,19.76,2190099,15930,19.757871,313.95,316.84,299.15,301.02,11743521,132571,306.702948,14.72,14.87,14.01,14.03,7934854,38692,14.282873,,,,,,,,10.78,10.9384,10.35,10.36,7071802.0,22481.0,10.570914,,,,,,,,5.5,5.53,5.46,5.48,20191349,19419,5.497042,,,,,,,
15.0,15.17,14.75,14.92,2013643,12760,14.958153,19.8,20.27,19.61,20.09,1854893,11176,20.018585,303.33,304.6,291.57,294.8,8006798,88613,296.056896,14.1,14.28,13.92,13.96,5645719,30808,14.030125,,,,,,,,10.41,10.63,10.17,10.56,5580812.0,19494.0,10.45178,,,,,,,,5.54,5.54,5.46,5.47,15512837,15479,5.485959,,,,,,,
14.97,15.12,14.715,14.82,1521574,9883,14.860131,19.96,20.25,19.735,19.97,1378895,9316,20.014168,293.74,294.0,277.67,281.83,9814252,130858,282.692545,13.97,14.35,13.825,14.22,6574323,30559,14.116611,,,,,,,,10.51,10.51,10.22,10.26,4392009.0,17839.0,10.298368,,,,,,,,5.5,5.545,5.46,5.48,10248980,12095,5.494982,,,,,,,
14.83,14.93,14.58,14.68,2323675,12709,14.698992,20.0,20.11,19.48,19.7,1566665,10845,19.803057,274.65,274.88,260.0,261.95,17948467,235856,265.550492,14.28,14.42,13.78,13.9,4603771,25838,13.989148,,,,,,,,10.26,10.33,9.88,10.02,6416206.0,19180.0,10.036541,,,,,,,,5.41,5.43,5.33,5.38,7560264,9549,5.383702,,,,,,,
14.71,15.19,14.66,14.98,2260074,14650,14.939722,19.53,19.86,19.17,19.6,1567494,11254,19.467381,264.52,267.7599,249.0,250.56,13475457,189022,255.247283,13.9,14.12,13.9,14.07,3576139,20132,14.031542,,,,,,,,9.93,10.15,9.84,9.94,4739570.0,17245.0,9.950838,,,,,,,,5.34,5.37,5.26,5.32,11679022,14328,5.320619,,,,,,,
14.93,15.4499,14.7,14.76,2405711,15597,14.966551,19.63,19.85,19.54,19.61,998256,6564,19.65486,255.14,266.77,253.3,262.8,12082011,162453,261.476414,14.11,14.43,13.85,13.92,4677436,28927,14.054353,,,,,,,,9.89,10.01,9.7,9.76,4764975.0,15918.0,9.789332,,,,,,,,5.31,5.34,5.26,5.3,12101927,15939,5.299296,,,,,,,
14.81,15.17,14.81,14.83,1962639,12142,14.959659,19.65,19.93,18.705,18.75,1758712,9097,19.124557,264.61,265.51,247.77,256.88,12815278,172341,255.210567,13.92,14.3,13.88,13.97,4456119,26945,14.106391,,,,,,,,9.7,9.7,9.25,9.25,7860418.0,25778.0,9.404531,,,,,,,,5.25,5.25,5.15,5.16,21285375,22129,5.206605,,,,,,,
14.79,15.1,14.65,14.66,2095972,14275,14.826656,18.55,18.84,18.4,18.41,1535802,10789,18.554145,257.53,262.25,249.03,252.23,8167973,110944,253.630956,14.01,14.255,13.855,13.95,5538081,32883,14.014062,,,,,,,,9.2,9.8,9.14,9.51,9698856.0,32806.0,9.557435,,,,,,,,5.2,5.25,5.12,5.15,19255436,21087,5.181489,,,,,,,
14.9,15.15,14.7,14.8,1927585,13394,14.896012,18.69,18.96,18.4993,18.86,2051352,9571,18.779844,260.86,261.99,252.01,258.78,7202404,96403,256.989777,14.06,14.149,13.41,13.53,5701418,30929,13.643483,,,,,,,,9.8,9.82,9.4501,9.6,4313466.0,14987.0,9.591253,,,,,,,,5.26,5.26,5.17,5.25,13415844,16751,5.216893,,,,,,,
14.81,15.0699,14.78,14.88,1500281,10723,14.934957,18.84,19.32,18.63,19.27,1577282,9588,19.112551,259.06,263.28,254.5367,259.59,6199965,72035,258.818583,13.56,14.06,13.55,13.94,4265031,23652,13.893712,,,,,,,,9.56,9.57,9.35,9.47,3682512.0,12930.0,9.468517,,,,,,,,5.28,5.31,5.24,5.29,9823460,15004,5.278053,,,,,,,
14.97,15.3,14.7752,15.29,2040331,11663,15.141884,19.41,20.16,19.37,20.15,2451341,11161,19.987261,264.5,277.375,262.24,276.59,9528001,117166,271.488928,13.97,14.2,13.84,14.15,3394434,18184,14.07505,,,,,,,,9.58,9.79,9.54,9.77,3276999.0,10886.0,9.697607,,,,,,,,5.42,5.47,5.41,5.45,15975694,16710,5.441731,,,,,,,
15.29,15.48,14.78,15.32,1997869,13501,15.268292,20.0,20.3,19.73,19.81,1676035,10423,19.906238,282.43,282.7,265.8032,271.78,8655542,112253,272.379283,14.09,14.18,13.59,13.73,3666525,21212,13.769225,,,,,,,,9.73,9.79,9.56,9.74,2505204.0,9292.0,9.691385,,,,,,,,5.46,5.58,5.42,5.52,17745914,20679,5.499979,,,,,,,
15.3,15.42,14.9,15.06,1478597,9913,15.132009,19.65,19.95,19.444,19.64,1609214,6426,19.647357,269.29,271.0,263.0,263.91,5421184,65626,266.261691,13.7,13.855,13.3801,13.4,4053324,22584,13.554585,,,,,,,,9.64,9.89,9.57,9.61,2973133.0,11154.0,9.696585,,,,,,,,5.57,5.65,5.54,5.55,24359643,21820,5.591421,,,,,,,
14.87,15.0,14.47,14.73,3106020,17681,14.692985,19.77,20.36,19.65,19.81,1527960,8091,19.978802,267.39,269.66,253.5,260.0,9376489,108935,259.759302,13.42,13.5738,13.14,13.15,5119915,27062,13.30764,,,,,,,,9.67,9.73,9.32,9.32,3572749.0,11463.0,9.45081,,,,,,,,5.59,5.66,5.58,5.62,17885353,18383,5.617071,,,,,,,
14.82,15.22,14.69,15.12,2305475,15347,15.039344,19.92,20.26,19.77,19.8,2650450,8678,19.896172,260.68,261.86,252.59,260.95,5600361,66101,257.885371,13.16,13.44,13.1,13.28,3324296,20667,13.250625,,,,,,,,9.4,9.59,9.32,9.47,3084573.0,10829.0,9.472516,,,,,,,,5.62,5.657,5.5729,5.63,17496032,20689,5.613249,,,,,,,
14.99,15.31,14.7899,15.27,2395068,14868,15.161751,19.54,19.76,19.29,19.7,1180556,10026,19.575033,263.87,297.93,262.1,294.14,19030554,228209,282.873177,13.13,13.601,13.03,13.53,3806739,22617,13.433799,,,,,,,,9.27,9.45,9.0901,9.36,4176328.0,13447.0,9.293032,,,,,,,,5.54,5.585,5.44,5.55,24997255,29719,5.519973,,,,,,,
15.3,15.6,15.07,15.07,2241316,16133,15.348964,19.49,19.54,17.83,17.83,3652598,17447,18.213402,301.05,304.44,285.73,288.5,20076887,248810,298.830292,13.54,13.95,13.13,13.14,5294717,29810,13.476527,,,,,,,,9.36,9.4,8.83,8.83,4845154.0,15313.0,9.052668,,,,,,,,5.44,5.45,5.24,5.26,29459830,33162,5.357896,,,,,,,
15.12,15.2,14.28,14.44,2274079,14397,14.554044,17.99,18.81,17.92,18.71,2243289,11927,18.516729,317.5,321.0,301.01,314.86,20840750,247722,311.182237,13.14,13.56,13.11,13.44,4510096,23211,13.434997,,,,,,,,8.97,9.21,8.92,9.14,3547766.0,13808.0,9.118438,,,,,,,,5.31,5.42,5.27,5.32,24022304,37130,5.342776,,,,,,,
14.43,14.43,13.64,13.71,2511131,16687,13.832068,18.47,18.5,17.42,17.83,2581845,13560,17.853655,308.25,339.9,306.65,330.9,27425520,319694,324.824406,13.44,13.59,13.085,13.24,4518900,26504,13.269143,,,,,,,,8.87,9.1884,8.71,8.96,5331734.0,16799.0,8.947392,,,,,,,,5.52,5.655,5.48,5.58,46115592,44105,5.551857,,,,,,,
13.83,14.955,13.77,14.53,3168877,20063,14.567,18.07,18.97,18.0601,18.72,1544566,11717,18.682905,336.99,347.16,326.5,334.85,14486039,162820,338.717388,13.33,14.0,13.33,13.67,3879730,24703,13.728157,,,,,,,,9.17,9.27,8.63,8.81,4180969.0,15044.0,8.950392,,,,,,,,5.62,5.64,5.5,5.55,20021701,24080,5.596979,,,,,,,
14.57,15.1106,14.4,14.67,2094072,15417,14.753622,18.68,19.24,18.67,19.24,1728567,9711,19.054353,327.12,337.8999,322.26,329.9,9126756,100164,330.738039,13.7,14.39,13.6,14.38,4694947,28141,14.212584,,,,,,,,8.78,9.06,8.75,9.02,3690029.0,13994.0,8.938976,,,,,,,,5.5,5.64,5.49,5.63,18164496,25834,5.588385,,,,,,,
14.81,14.82,14.2627,14.6,1738939,10901,14.566613,19.6,19.63,19.08,19.26,1254707,8692,19.293199,331.75,342.0,329.1,337.32,7624391,86754,337.142559,14.46,14.4999,13.73,13.74,4624895,27033,13.906736,,,,,,,,9.2,9.3,9.11,9.25,2896972.0,9504.0,9.226854,,,,,,,,5.66,5.72,5.62,5.62,22823019,23842,5.66797,,,,,,,
14.61,15.35,14.6,15.35,2754343,18874,15.158373,19.26,19.31,18.8,19.24,1292137,9189,19.133846,338.26,347.84,334.725,344.28,8001759,86525,343.720109,13.81,14.335,13.64,14.2,3234682,21261,14.105464,,,,,,,,9.28,9.54,9.19,9.53,3060647.0,10374.0,9.40416,,,,,,,,5.73,5.79,5.7,5.78,26507617,29465,5.732159,,,,,,,
15.42,15.755,15.19,15.61,1665621,12259,15.51506,19.35,19.88,18.64,19.0,1429455,8368,19.039581,343.74,349.2,340.91,346.41,7851061,77184,344.820059,14.35,14.79,14.35,14.71,5707167,33471,14.627827,,,,,,,,9.47,9.54,9.21,9.37,2744225.0,9709.0,9.336372,,,,,,,,5.84,5.87,5.77,5.8,20944069,24434,5.813546,,,,,,,
15.55,15.56,14.89,14.99,1803627,12995,15.044483,19.08,19.235,18.98,19.18,1518613,7857,19.147729,340.35,343.955,330.14,341.4,7831054,81442,337.620177,14.69,14.69,14.1,14.26,3475462,23025,14.279214,,,,,,,,9.3,9.37,9.175,9.34,2155238.0,8254.0,9.283463,,,,,,,,5.85,5.88,5.81,5.86,12499666,18969,5.853568,,,,,,,
14.95,15.05,14.83,14.95,1896020,13566,14.932572,19.07,19.21,18.395,18.42,1846492,12847,18.587173,339.07,348.8,336.09,341.06,6762918,70297,344.292972,14.26,14.57,14.177,14.45,2087421,13783,14.416471,,,,,,,,9.33,9.47,9.3,9.44,2518129.0,10124.0,9.404372,,,,,,,,5.85,5.88,5.82,5.86,10467146,19003,5.850619,,,,,,,
15.0,15.05,14.65,14.9,2044349,13769,14.868089,18.46,18.5,17.8813,18.38,3516047,20993,18.204368,342.7,351.18,340.8,348.16,7464522,76777,348.246593,14.49,14.57,13.91,14.17,4079985,23347,14.12198,,,,,,,,9.55,9.75,9.51,9.63,4723958.0,11398.0,9.640295,,,,,,,,5.99,5.99,5.93,5.98,17499975,22425,5.971958,,,,,,,
14.9,15.02,14.78,14.86,2139432,13553,14.886699,18.43,18.918,18.01,18.13,1616155,10757,18.295625,348.9,357.5755,348.44,351.4,7089438,71296,352.689079,14.16,14.6,14.13,14.33,2899441,18220,14.374458,,,,,,,,9.62,9.71,9.54,9.57,3531735.0,12142.0,9.595003,,,,,,,,5.94,5.97,5.89,5.93,12834963,18508,5.928888,,,,,,,
14.72,14.8,14.315,14.64,1671536,10752,14.550672,17.32,17.84,14.9701,15.66,6804375,36137,15.872667,348.77,354.0,345.23,350.51,5098846,56047,349.725014,14.31,14.34,13.88,14.02,2785437,19370,14.075096,,,,,,,,9.43,9.52,9.16,9.3,3907648.0,14669.0,9.293389,,,,,,,,5.9,5.91,5.82,5.87,11833202,15691,5.85722,,,,,,,
14.66,14.78,13.86,13.88,2400176,15003,14.134759,15.71,15.86,15.18,15.19,2409423,15693,15.431568,348.37,349.78,330.34,331.28,6941549,74515,338.911212,14.04,14.09,13.67,13.84,3806804,20593,13.865699,,,,,,,,9.24,9.29,8.91,8.96,3146946.0,11336.0,9.042133,,,,,,,,5.81,5.83,5.74,5.75,11955787,19361,5.794806,,,,,,,
13.9,14.175,13.78,13.88,2308246,15601,13.912088,15.1,15.64,15.1,15.54,2064970,13537,15.435904,333.16,344.7,332.2,338.73,5448597,62006,339.829006,13.91,14.33,13.75,14.11,2746374,16465,14.149819,,,,,,,,9.0,9.12,8.9,8.96,3261293.0,10428.0,9.00512,,,,,,,,5.79,5.89,5.77,5.85,16321776,18740,5.83671,,,,,,,
14.08,14.11,12.88,12.96,3436099,20463,13.238682,15.58,15.9,15.55,15.68,1713194,12065,15.738446,343.33,347.11,337.15,344.0,5040296,55994,342.048394,14.27,14.38,13.59,13.63,3260123,20324,13.870063,,,,,,,,9.06,9.145,8.81,8.84,4715099.0,14898.0,8.944138,,,,,,,,5.87,5.88,5.78,5.79,13067375,17944,5.824673,,,,,,,
12.96,13.25,12.77,13.13,3030283,16630,13.057528,15.46,15.512,14.74,14.74,2166010,12703,14.962923,342.21,348.58,339.04,348.44,4625719,52151,344.417573,13.5,13.61,12.915,13.33,6126770,33334,13.214343,,,,,,,,8.8,8.92,8.7601,8.86,5211890.0,16755.0,8.835395,,,,,,,,5.68,5.77,5.65,5.76,19929976,23670,5.714814,,,,,,,
12.99,12.99,12.45,12.79,5716754,26562,12.742623,14.63,14.75,13.99,14.05,2505204,14687,14.178347,345.19,355.7,345.1201,354.31,7291191,76534,352.482233,13.12,13.16,12.28,12.69,9774061,41851,12.583088,,,,,,,,8.86,9.12,8.84,8.97,8728240.0,26541.0,8.990739,,,,,,,,5.83,5.85,5.7828,5.81,17427496,17296,5.815705,,,,,,,
12.84,13.16,12.77,13.03,3450866,21180,12.964855,14.05,14.3,13.195,13.49,2973865,16456,13.539226,356.34,366.75,352.88,353.47,9725671,102706,359.182242,12.7,13.15,12.48,12.5,5395876,31114,12.686644,,,,,,,,9.02,9.15,8.57,8.59,8346669.0,24818.0,8.776166,,,,,,,,5.81,5.83,5.72,5.72,13216003,16792,5.759268,,,,,,,
12.6,12.905,12.14,12.28,6034927,31144,12.412317,13.22,13.71,13.04,13.29,3077306,18451,13.376104,341.57,349.8,333.55,347.49,8005593,91400,344.007997,12.14,12.535,11.99,12.38,5519703,31181,12.357934,,,,,,,,8.46,8.86,8.23,8.66,6947825.0,21971.0,8.598809,,,,,,,,5.53,5.6077,5.48,5.51,23450210,22613,5.544701,,,,,,,
12.47,14.5,12.305,13.71,12481014,51708,13.601046,13.42,14.2501,13.38,13.94,1632088,10193,13.922988,351.38,353.1,337.3995,338.19,4710308,53693,341.979329,12.42,12.98,12.42,12.82,3412979,20167,12.821662,,,,,,,,8.78,8.92,8.73,8.78,3099127.0,10351.0,8.829204,,,,,,,,5.59,5.6,5.51,5.53,13066092,16312,5.554237,,,,,,,
13.7,13.76,13.16,13.5,2691774,16630,13.422145,13.85,14.0625,13.42,13.88,859239,5860,13.816944,334.0,337.5,325.55,325.83,4202642,49602,329.776049,12.77,13.0,12.64,12.75,1535920,10144,12.827945,,,,,,,,8.67,8.83,8.66,8.67,1305177.0,4610.0,8.731957,,,,,,,,5.47,5.51,5.46,5.49,10311845,11347,5.482177,,,,,,,
14.0,14.78,13.9875,14.58,5911007,29334,14.509262,14.0,14.24,13.8,14.16,1758391,10013,14.029317,325.0,346.22,325.0,346.0,7992191,88916,338.656862,12.88,13.07,12.695,12.95,3119125,19040,12.876104,,,,,,,,8.8,8.99,8.74,8.94,2096662.0,8172.0,8.901935,,,,,,,,5.54,5.56,5.49,5.5,8863022,13365,5.527656,,,,,,,
14.39,14.97,14.2,14.72,4384758,22953,14.744667,14.13,14.15,13.44,13.45,1755381,11028,13.648567,340.05,346.96,335.5,343.92,6358300,62724,341.949214,12.82,12.82,12.38,12.38,5613659,31407,12.53719,,,,,,,,8.84,8.975,8.8,8.86,1814502.0,8809.0,8.90171,,,,,,,,5.51,5.52,5.44,5.47,10277353,16563,5.469467,,,,,,,
14.72,15.065,14.72,15.01,2644071,15663,14.944563,13.45,13.91,13.4,13.84,1406394,9531,13.674431,345.99,348.28,342.21,347.87,4127578,44521,345.675867,12.47,12.58,12.21,12.43,4476276,28039,12.355472,,,,,,,,8.94,8.97,8.66,8.91,3453781.0,13236.0,8.82007,,,,,,,,5.47,5.5,5.39,5.48,20396878,24564,5.459182,,,,,,,
15.05,15.22,14.54,14.63,4209587,23765,14.45895,13.75,14.25,13.7402,13.96,1061582,7489,14.003956,347.0,347.5,339.55,341.17,3080836,37509,342.758977,12.42,12.82,12.33,12.78,5399976,29420,12.6538,,,,,,,,8.9,8.985,8.73,8.8,2281134.0,9444.0,8.856531,,,,,,,,5.5,5.55,5.48,5.52,17630037,25359,5.518659,,,,,,,
12.95,13.96,12.8,13.66,11913986,61448,13.508352,14.02,14.13,13.465,13.65,1445132,8453,13.6849,341.83,351.6,338.2648,350.48,5647795,61720,347.963799,12.73,12.9,12.455,12.88,4531208,24323,12.765742,,,,,,,,8.81,8.87,8.715,8.79,4204075.0,8687.0,8.790986,,,,,,,,5.48,5.52,5.455,5.47,12123342,12085,5.478387,,,,,,,
13.81,13.98,13.53,13.87,4021217,24389,13.802441,13.89,14.49,13.6,14.22,1995813,10908,14.111335,360.28,366.0,352.0,358.49,8306594,91633,360.583686,13.07,13.26,12.955,13.2,5358087,27910,13.122848,,,,,,,,8.96,9.0,8.725,8.84,2721550.0,11054.0,8.841916,,,,,,,,5.61,5.64,5.57,5.6,14257909,21490,5.604811,,,,,,,
13.99,14.11,13.44,13.5,3733906,22424,13.698446,14.15,14.57,14.1,14.26,1413621,8184,14.318892,356.05,368.68,352.0,359.7,8462313,91999,361.429353,13.16,13.34,12.24,12.28,5567986,29696,12.493333,,,,,,,,8.75,8.86,8.37,8.41,4337072.0,13553.0,8.601058,,,,,,,,5.55,5.57,5.39,5.4,19622446,28663,5.462922,,,,,,,
13.5,13.77,13.24,13.56,3197174,20446,13.574757,14.1,14.66,13.93,14.63,1708204,11476,14.358735,356.01,367.38,350.76,363.06,7842558,89366,359.098892,12.15,12.555,11.97,12.38,5433829,34028,12.280014,,,,,,,,8.25,8.36,8.06,8.26,5178449.0,18792.0,8.228509,,,,,,,,5.37,5.64,5.37,5.62,32310457,41432,5.526351,,,,,,,
13.55,14.04,13.5,13.68,3403048,19586,13.749111,14.45,14.695,14.13,14.27,980311,5757,14.387946,369.0,379.49,357.65,357.965,11539577,128275,369.980133,12.42,12.71,12.31,12.45,4400691,29836,12.472322,,,,,,,,8.27,8.375,7.96,8.0,3260478.0,11244.0,8.109374,,,,,,,,5.62,5.66,5.52,5.53,23097432,27823,5.589053,,,,,,,
13.38,13.44,12.83,13.23,2797187,17229,13.185388,14.24,14.45,13.68,14.3,1196557,8106,14.147217,360.0,365.98,353.12,365.15,6621655,73465,360.260808,12.45,12.63,11.95,12.27,4172765,25083,12.196162,,,,,,,,7.95,8.12,7.85,7.9,4613313.0,13459.0,7.947688,,,,,,,,5.6,5.71,5.6,5.68,35043270,28440,5.650485,,,,,,,
13.35,13.4,12.8504,12.95,2338170,12696,13.050722,14.49,15.23,14.49,15.12,2025431,10326,15.082827,369.91,372.1689,360.23,366.76,6308769,68590,367.208883,12.43,12.91,12.22,12.32,3779066,24042,12.482845,,,,,,,,8.0,8.09,7.86,7.86,4858668.0,15639.0,7.942879,,,,,,,,5.84,5.87,5.79,5.84,46730767,45381,5.838234,,,,,,,
13.06,13.53,12.98,13.23,1817869,12218,13.301799,15.32,15.44,15.05,15.27,1807885,7544,15.285341,369.42,371.91,365.16,366.6,5032621,51191,368.214083,12.47,12.61,12.2867,12.34,3390668,17963,12.404463,,,,,,,,7.98,8.15,7.95,7.97,3725662.0,13593.0,8.042917,,,,,,,,5.95,6.06,5.93,6.04,48353642,40287,6.001191,,,,,,,
13.24,13.36,12.67,12.79,2436614,14405,12.844618,15.33,15.4,14.61,14.86,1086654,6536,14.884663,370.02,377.44,366.75,376.79,7383054,78728,372.608586,12.23,12.275,11.55,11.57,5850685,26373,11.74554,,,,,,,,8.0,8.1,7.685,7.71,4038173.0,14162.0,7.803713,,,,,,,,5.99,6.05,5.97,6.03,33790966,29235,6.009775,,,,,,,
12.69,13.0,12.69,12.76,1663721,11322,12.809707,14.71,14.98,14.45,14.51,777736,5515,14.685611,375.17,377.87,364.33,365.71,6408230,69792,371.680455,11.5,12.09,11.38,11.73,5401383,32066,11.862731,,,,,,,,7.6,7.805,7.55,7.6,4439452.0,15002.0,7.638799,,,,,,,,5.91,6.01,5.89,5.94,17796510,21897,5.957589,,,,,,,
12.66,13.1028,12.55,12.65,2255789,13988,12.792923,14.47,14.79,14.0,14.07,1022568,6999,14.292707,362.0,365.7,343.88,348.42,7674008,83587,355.468978,11.66,12.185,11.54,11.61,4032121,26301,11.789611,,,,,,,,7.56,7.65,7.435,7.44,5395703.0,19657.0,7.522428,,,,,,,,5.94,5.95,5.85,5.87,26578124,31860,5.913842,,,,,,,
12.65,13.025,12.61,12.73,2595783,15815,12.823328,14.19,14.45,13.71,13.96,1203584,7936,13.979112,350.54,351.55,333.69,337.03,7100014,82159,343.020081,11.71,12.155,11.65,11.81,4444391,29455,11.964793,,,,,,,,7.5,7.66,7.46,7.47,6338957.0,18553.0,7.554865,,,,,,,,5.88,5.9,5.76,5.78,19722411,25918,5.830536,,,,,,,
12.76,12.975,12.523,12.58,2425928,15509,12.742695,13.96,14.07,13.28,13.37,1355003,7789,13.610717,337.5,347.01,329.74,332.97,8274181,81948,338.468427,11.85,12.19,11.84,11.91,5059325,30946,12.009849,,,,,,,,7.5,7.69,7.34,7.35,5791508.0,20265.0,7.494607,,,,,,,,5.83,5.9,5.74,5.77,19185136,24185,5.838868,,,,,,,
12.6,12.9373,12.21,12.43,2671199,17936,12.519003,13.38,13.7,12.66,12.98,1495769,9384,13.026132,327.05,330.29,311.869,315.38,9071858,100230,320.004511,11.87,12.04,11.38,11.41,7476615,40654,11.580027,,,,,,,,7.49,8.0398,7.345,7.55,10640513.0,33705.0,7.601075,,,,,,,,5.82,5.85,5.66,5.76,29033800,36636,5.757795,,,,,,,
12.39,12.68,11.765,11.96,4422960,16679,12.077237,13.07,13.2,12.305,12.34,1653291,9790,12.609597,317.64,323.47,312.44,319.77,8016812,91672,318.35205,11.41,11.55,10.745,10.81,10378531,39293,11.039622,,,,,,,,7.6,7.66,6.85,6.91,16983377.0,35550.0,7.084874,,,,,,,,5.71,5.745,5.48,5.49,29856841,36800,5.609302,,,,,,,
11.97,12.02,11.64,11.67,1328526,8998,11.796693,12.28,12.54,12.06,12.26,861376,5542,12.284355,313.5,314.5,295.195,295.39,5559913,69377,301.262353,10.8,10.905,10.46,10.62,3348106,19874,10.687351,,,,,,,,6.7,6.94,6.57,6.77,5563685.0,16386.0,6.773294,,,,,,,,5.48,5.53,5.455,5.49,18967028,19936,5.488946,,,,,,,
11.72,12.4,11.56,12.4,2414814,12799,12.110582,12.35,12.76,11.9372,12.68,1574126,10048,12.300465,300.01,326.97,294.09,326.09,8163173,95284,308.551044,10.68,11.595,10.5346,11.57,5077559,30678,11.12278,,,,,,,,6.79,7.0,6.62,7.0,6003834.0,19842.0,6.8231,,,,,,,,5.5,5.56,5.415,5.56,36014120,31504,5.47595,,,,,,,
12.24,12.25,11.63,12.18,1834607,10774,11.96442,12.43,12.5026,11.66,12.2,1777676,10120,12.037405,319.75,322.1717,301.5,316.13,8575133,98645,310.687724,11.43,11.47,10.88,11.41,6619520,35002,11.140411,,,,,,,,6.89,7.12,6.81,7.05,6551088.0,22051.0,6.980654,,,,,,,,5.52,5.64,5.47,5.63,22782645,23254,5.541629,,,,,,,
12.21,12.49,12.01,12.28,2026317,11562,12.272496,12.25,12.6499,12.02,12.42,1668064,11029,12.304825,323.26,336.24,318.41,333.87,9939002,104621,328.256367,11.41,11.76,11.33,11.44,6005840,38765,11.505991,,,,,,,,7.06,7.265,6.97,7.16,4154172.0,16398.0,7.129644,,,,,,,,5.69,5.83,5.6651,5.81,33354476,32291,5.759304,,,,,,,
